Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"pcb ","pcb",1,0.00,"https://www.lioncircuits.com/quote","lion circuits"
"keycaps","keycaps",1,30.00,"https://curiositycaps.in/products/polar-day-line-crack-side-backlit-cherry-keycaps","curiosity caps "
"Akko V3 Silver","switches",2,32.00,"https://stackskb.com/store/akko-v3-silver-pro-switch-pack-of-45/","stackskb"
"OLED","oled",1,2.00,"https://robu.in/product/0-91-inch-128x32-i2c-iic-serial-blue-oled-lcd-display-module/","robu"
"Raspberry Pi Pico","MCU",1,5.00,"https://robu.in/product/raspberry-pi-pico/","robu"
